,question,intention,label,features
0,老年痴呆的描述,disease_describe,10,描述
1,老年痴呆病人吃什么好,query_food,19,病人 吃
2,老年痴呆的人群是哪些,query_infect_people,3,人群
3,老年痴呆能报销吗,query_insurance,1,报销
4,护理老年性痴呆患者,query_nursing,18,护理 患者
5,老年痴呆有哪些诊断种类,query_diagnosis,16,诊断 种类
6,老年痴呆的并发症,query_neopathy,13,并发症
7,老年痴呆检查项目,query_checklist,15,检查 项目
8,老年痴呆是啥,disease_describe,10,
9,老年痴呆可以叫什么,query_alias,0,
10,老年痴呆患病几率大么,query_infect_rate,2,患病 几率
11,老年痴呆检测项目,query_checklist,15,检测 项目
12,老年痴呆看什么部门,query_department,5,部门
13,老年痴呆要花多少钱,query_money,9,要花 钱
14,老年痴呆别称,query_alias,0,别称
15,老年痴呆的并发症,query_neopathy,13,并发症
16,老年痴呆治不好吗,query_cure_rate,7,治不好
17,老年痴呆会传染吗,query_infect_way,4,会 传染
18,老年痴呆与阿尔兹海默症,query_alias,0,阿尔兹
19,老年痴呆的哪些并发症,query_neopathy,13,并发症
20,老年痴呆针对老年人吗,query_infect_people,3,老年人
21,老年痴呆要花钱不,query_money,9,花钱
22,老年痴呆几率大么,query_infect_rate,2,几率
23,老年痴呆挂哪个科,query_department,5,挂 科
24,老年痴呆看多长时间,query_period,6,多长时间
25,老年痴呆属于医保疾病吗,query_insurance,1,属于 医保 疾病
26,老年痴呆好治疗吗,query_cure_rate,7,治疗
27,老年痴呆是否有医保,query_insurance,1,是否 医保
28,老年痴呆患病几率,query_infect_rate,2,患病 几率
29,老年痴呆初期治疗方法,query_cureway,17,初期 治疗 方法
30,老年痴呆诊断类型,query_diagnosis,16,诊断 类型
31,老年痴呆传染吗,query_infect_way,4,传染
32,老年痴呆病人注意吃什么,query_food,19,病人 注意 吃
33,血管性痴呆和老年痴呆,query_cause,11,老年痴呆
34,老年痴呆针对人群是哪些,query_infect_people,3,人群
35,什么是老年痴呆？,disease_describe,10,
36,老年痴呆的并发症,query_neopathy,13,并发症
37,老年痴呆和阿尔兹海默症,query_alias,0,阿尔兹
38,老年痴呆多少钱可以看好,query_money,9,钱 看好
39,老年痴呆可以报销吗,query_insurance,1,报销
40,老年痴呆要花钱不,query_money,9,花钱
41,老年痴呆有哪些检查项目,query_checklist,15,检查 项目
42,老年痴呆有医保吗,query_insurance,1,医保
43,帕金森病是老年痴呆吗,disease_describe,10,帕金森病
44,老年痴呆哪些并发症,query_neopathy,13,并发症
45,老年痴呆的治疗时间持续多长,query_period,6,治疗 时间 持续 多长
46,老年人预防老年痴呆,query_prevent,12,预防
47,老年痴呆诊断类型,query_diagnosis,16,诊断 类型
48,老年痴呆怎么用药治疗,query_curedrug,8,用药治疗
49,怎样护理老年性痴呆患者,query_nursing,18,护理 患者
50,老年痴呆看什么科,query_department,5,科
51,老年痴呆有多大几率,query_infect_rate,2,几率
52,血管性老年痴呆,query_cause,11,血管性
53,铝老年痴呆,query_cause,11,铝
54,老年痴呆得的几率,query_infect_rate,2,几率
55,老年痴呆好治吗,query_cure_rate,7,好治
56,老年痴呆针对老年人吗,query_infect_people,3,老年人
57,老年痴呆骂人,query_symptom,14,骂人
58,老年痴呆有会误诊吗,query_diagnosis,16,有会 误诊
59,老年痴呆看哪个科室,query_department,5,科室
60,老年痴呆看哪些项目,query_checklist,15,哪些项目
61,老年痴呆花钱多少,query_money,9,花钱
62,老年痴呆的迹象,query_symptom,14,迹象
63,老年痴呆是怎么回事？,disease_describe,10,怎么回事
64,吃什么预防老年痴呆,query_food,19,吃 预防
65,老年痴呆传染吗,query_infect_way,4,传染
66,老年痴呆的中医治疗,query_cureway,17,中医 治疗
67,帕金森是不是老年痴呆,disease_describe,10,帕金森 是不是
68,中度老年痴呆,query_symptom,14,中度
69,老年痴呆可以治愈吗？,query_cure_rate,7,治愈
70,老年痴呆检测项目,query_checklist,15,检测 项目
71,老年痴呆能治好吗,query_period,6,能治好
72,老年痴呆多吃什么好,query_food,19,吃
73,导致老年痴呆的原因,query_cause,11,导致 原因
74,老年痴呆治疗药物,query_curedrug,8,治疗 药物
75,老年痴呆引起的疾病,query_neopathy,13,引起 疾病
76,老年痴呆患病几率,query_infect_rate,2,患病 几率
77,老年痴呆的治疗时间多长,query_period,6,治疗 时间 多长
78,老年痴呆病人需要吃什么,query_food,19,病人 需要 吃
79,看老年痴呆花钱厉害吗,query_money,9,花钱 厉害
